"","sw","A_public","A_private","A_standard","Y","College_education","nivetude2","Vocational","High_school_dropout","Manager","Technician","Skilled_clerical_worker","Unskilled_clerical_worker","Skilled_blue_colar","Unskilled_blue_colar","Woman","Married","French","African","Other_Nationality","Paris_region","North","Other_regions","Employment_component_level_1","Employment_component_level_2","Employment_component_missing","Economic_Layoff","Personnal_Layoff","End_of_Fixed_Term_Contract","End_of_Temporary_Work","Other_reasons_of_unemployment","Statistical_risk_level_2","Statistical_risk_level_3","Other_Statistical_risk","Search_for_a_full_time_position","Sensitive_suburban_area","Insertion","Interim","Conseil","age","Number_of_children","exper","salaire.num","mois_saisie_occ","ndem"
"38",0.827225405470844,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,36,3,3,4,8,1
"39",0.827225405470844,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,59,0,15,5,9,1
"40",5.25984384812673,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,46,1,14,3,9,1
"41",0.827225405470844,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,35,0,14,5,6,2
"42",0.827225405470844,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,53,2,11,4,5,1
"43",0.827225405470844,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,53,1,10,1,5,1
"44",1.08303556377856,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,45,3,16,1,4,2
"45",1.10552001905641,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,45,0,6,3,5,4
"46",0.827225405470844,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,38,0,15,2,5,1
"47",0.827225405470844,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,52,1,10,2,5,1
